iteration,vehicles,app,baseline,metric,scope_value,baseline_value,baseline_minus_scope
1,400,ALL_APPS,RANDOM,service_time_s,0.6743459974886118,0.34977878685813174,-0.32456721063048005
2,400,ALL_APPS,RANDOM,service_time_s,0.6866348701010114,0.3586173869670839,-0.32801748313392753
3,400,ALL_APPS,RANDOM,service_time_s,0.7070649289151116,0.3710373539861045,-0.33602757492900714
4,400,ALL_APPS,RANDOM,service_time_s,0.7120722643599625,0.3721686702597389,-0.33990359410022364
5,400,ALL_APPS,RANDOM,service_time_s,0.6803050211250088,0.35248387290423866,-0.32782114822077013
6,400,ALL_APPS,RANDOM,service_time_s,0.7184034655360156,0.37926692263762507,-0.33913654289839057
7,400,ALL_APPS,RANDOM,service_time_s,0.7003941480627365,0.3669509733626392,-0.33344317470009727
8,400,ALL_APPS,RANDOM,service_time_s,0.7179058919733573,0.3757888272612577,-0.34211706471209963
9,400,ALL_APPS,RANDOM,service_time_s,0.6935938301303248,0.36054759067175235,-0.3330462394585725
10,400,ALL_APPS,RANDOM,service_time_s,0.7316852236779073,0.3842198302105559,-0.34746539346735145
1,500,ALL_APPS,EXP3_MC,failure_rate_pct,0.12057726364972304,0.12057726364972304,0.0
2,500,ALL_APPS,EXP3_MC,failure_rate_pct,0.12771581305486743,0.12771581305486743,0.0
3,500,ALL_APPS,EXP3_MC,failure_rate_pct,0.13667109134285393,0.13667109134285393,0.0
4,500,ALL_APPS,EXP3_MC,failure_rate_pct,0.1401734723233906,0.1401734723233906,0.0
5,500,ALL_APPS,EXP3_MC,failure_rate_pct,0.11997351079910079,0.11997351079910079,0.0
6,500,ALL_APPS,EXP3_MC,failure_rate_pct,0.1454912918287464,0.1454912918287464,0.0
7,500,ALL_APPS,EXP3_MC,failure_rate_pct,0.13298889601562913,0.13298889601562913,0.0
8,500,ALL_APPS,EXP3_MC,failure_rate_pct,0.13621966324811569,0.13621966324811569,0.0
9,500,ALL_APPS,EXP3_MC,failure_rate_pct,0.13981850655793898,0.13981850655793898,0.0
10,500,ALL_APPS,EXP3_MC,failure_rate_pct,0.14873652075280677,0.14873652075280677,0.0
1,500,ALL_APPS,EXP3_MC,service_time_s,0.6256461783886722,0.6256461783886722,0.0
2,500,ALL_APPS,EXP3_MC,service_time_s,0.6382908249157371,0.6382908249157371,0.0
3,500,ALL_APPS,EXP3_MC,service_time_s,0.6623345540518965,0.6623345540518965,0.0
4,500,ALL_APPS,EXP3_MC,service_time_s,0.6448177020672291,0.6448177020672291,0.0
5,500,ALL_APPS,EXP3_MC,service_time_s,0.6385847367316312,0.6385847367316312,0.0
6,500,ALL_APPS,EXP3_MC,service_time_s,0.6744114752246734,0.6744114752246734,0.0
7,500,ALL_APPS,EXP3_MC,service_time_s,0.6351714140699833,0.6351714140699833,0.0
8,500,ALL_APPS,EXP3_MC,service_time_s,0.655442799624147,0.655442799624147,0.0
