iteration,policy,vehicles,app,completed_tasks,failed_tasks,failure_rate_pct,service_time_s,source
6,RAIDER_TRAX,600,ALL_APPS,393295.0,845.0,0.21439082559496625,0.6355220980212253,ite6/SIMRESULT_ITS_SCENARIO_RAIDER_TRAX_600DEVICES_ALL_APPS_GENERIC.log
7,RAIDER_TRAX,600,ALL_APPS,402530.0,799.0,0.19810130191481395,0.6033317779757362,ite7/SIMRESULT_ITS_SCENARIO_RAIDER_TRAX_600DEVICES_ALL_APPS_GENERIC.log
8,RAIDER_TRAX,600,ALL_APPS,400910.0,738.0,0.18374297892682148,0.6143854952148396,ite8/SIMRESULT_ITS_SCENARIO_RAIDER_TRAX_600DEVICES_ALL_APPS_GENERIC.log
9,RAIDER_TRAX,600,ALL_APPS,398839.0,815.0,0.2039263963328279,0.6119921074196906,ite9/SIMRESULT_ITS_SCENARIO_RAIDER_TRAX_600DEVICES_ALL_APPS_GENERIC.log
10,RAIDER_TRAX,600,ALL_APPS,385116.0,856.0,0.22177774553594562,0.6311206560972833,ite10/SIMRESULT_ITS_SCENARIO_RAIDER_TRAX_600DEVICES_ALL_APPS_GENERIC.log
1,RANDOM,600,ALL_APPS,409031.0,231.0,0.056443060924297885,0.3588420890411592,ite1/SIMRESULT_ITS_SCENARIO_RANDOM_600DEVICES_ALL_APPS_GENERIC.log
2,RANDOM,600,ALL_APPS,405635.0,191.0,0.04706450547771705,0.3648506191705866,ite2/SIMRESULT_ITS_SCENARIO_RANDOM_600DEVICES_ALL_APPS_GENERIC.log
3,RANDOM,600,ALL_APPS,399516.0,179.0,0.0447841479127835,0.3761615638899089,ite3/SIMRESULT_ITS_SCENARIO_RANDOM_600DEVICES_ALL_APPS_GENERIC.log
4,RANDOM,600,ALL_APPS,393591.0,224.0,0.056879499257265466,0.3666148124280602,ite4/SIMRESULT_ITS_SCENARIO_RANDOM_600DEVICES_ALL_APPS_GENERIC.log
5,RANDOM,600,ALL_APPS,401859.0,230.0,0.057201266386297564,0.36776644454639584,ite5/SIMRESULT_ITS_SCENARIO_RANDOM_600DEVICES_ALL_APPS_GENERIC.log
6,RANDOM,600,ALL_APPS,394003.0,164.0,0.04160673014230009,0.3891077601749699,ite6/SIMRESULT_ITS_SCENARIO_RANDOM_600DEVICES_ALL_APPS_GENERIC.log
7,RANDOM,600,ALL_APPS,403159.0,201.0,0.04983141610472035,0.364763257799476,ite7/SIMRESULT_ITS_SCENARIO_RANDOM_600DEVICES_ALL_APPS_GENERIC.log
8,RANDOM,600,ALL_APPS,401464.0,216.0,0.05377414857598088,0.3710881427648421,ite8/SIMRESULT_ITS_SCENARIO_RANDOM_600DEVICES_ALL_APPS_GENERIC.log
9,RANDOM,600,ALL_APPS,399500.0,180.0,0.04503602882305845,0.36916825566066863,ite9/SIMRESULT_ITS_SCENARIO_RANDOM_600DEVICES_ALL_APPS_GENERIC.log
10,RANDOM,600,ALL_APPS,385822.0,175.0,0.045337139925957975,0.38462456471118117,ite10/SIMRESULT_ITS_SCENARIO_RANDOM_600DEVICES_ALL_APPS_GENERIC.log
1,RT_OPT_ML,700,ALL_APPS,472086.0,984.0,0.2080030439469846,0.5752581444599278,ite1/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_700DEVICES_ALL_APPS_GENERIC.log
2,RT_OPT_ML,700,ALL_APPS,471080.0,977.0,0.20696653158410955,0.5776088933369018,ite2/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_700DEVICES_ALL_APPS_GENERIC.log
3,RT_OPT_ML,700,ALL_APPS,457884.0,1141.0,0.248570339306138,0.5948361621634005,ite3/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_700DEVICES_ALL_APPS_GENERIC.log
4,RT_OPT_ML,700,ALL_APPS,455159.0,1084.0,0.23759268635354405,0.5839142295434828,ite4/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_700DEVICES_ALL_APPS_GENERIC.log
5,RT_OPT_ML,700,ALL_APPS,460035.0,1085.0,0.23529666897987508,0.5902734677477203,ite5/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_700DEVICES_ALL_APPS_GENERIC.log
6,RT_OPT_ML,700,ALL_APPS,459599.0,1150.0,0.24959359651350302,0.6025477417778592,ite6/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_700DEVICES_ALL_APPS_GENERIC.log
