vehicles,app,baseline,metric,n_pairs,n_nonzero,scope_mean,scope_sd,baseline_mean,baseline_sd,mean_improvement,ci95_low,ci95_high,rank_biserial,wilcoxon_W,p_raw,p_holm,significant_holm_005
1000,ALL_APPS,RAIDER_TRAX,service_time_s,10,10,0.5354033449638576,0.00653993924621296,0.5327245897752989,0.006689376757485094,-0.002678755188558657,-0.0033652282257160856,-0.0019146301066393146,-1.0,0.0,0.001953125,0.2109375,False
1000,ALL_APPS,RANDOM,failure_rate_pct,10,10,0.46852654795891774,0.023643528515205885,3.6492339661061637,0.16690227914076242,3.1807074181472466,3.074223045098229,3.2768741008569724,1.0,0.0,0.001953125,0.2109375,False
1000,ALL_APPS,RANDOM,service_time_s,10,10,0.5354033449638576,0.00653993924621296,0.4234964611961233,0.007914575526176007,-0.11190688376773428,-0.11317244412877886,-0.1106691766415381,-1.0,0.0,0.001953125,0.2109375,False
1100,ALL_APPS,EXP3_MC,failure_rate_pct,10,0,0.749163447048436,0.05593773023690688,0.749163447048436,0.05593773023690688,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
1100,ALL_APPS,EXP3_MC,service_time_s,10,0,0.5277881321129511,0.00641360238143168,0.5277881321129511,0.00641360238143168,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
1100,ALL_APPS,RAIDER_TRAX,failure_rate_pct,10,10,0.749163447048436,0.05593773023690688,0.7992717543739732,0.03696753660266565,0.050108307325537206,0.02958330850996354,0.06904518550594947,0.9272727272727272,2.0,0.005859375,0.2109375,False
1100,ALL_APPS,RAIDER_TRAX,service_time_s,10,10,0.5277881321129511,0.00641360238143168,0.5254057886457639,0.006600136380588648,-0.0023823434671871426,-0.002721158500151889,-0.0019938129816313268,-1.0,0.0,0.001953125,0.2109375,False
1100,ALL_APPS,RANDOM,failure_rate_pct,10,10,0.749163447048436,0.05593773023690688,9.135735969661274,0.4653146004573061,8.38657252261284,8.102120594294382,8.659761053015888,1.0,0.0,0.001953125,0.2109375,False
1100,ALL_APPS,RANDOM,service_time_s,10,10,0.5277881321129511,0.00641360238143168,0.45809309095919704,0.007010180043251472,-0.06969504115375409,-0.0714396971258635,-0.06807141148333136,-1.0,0.0,0.001953125,0.2109375,False
1200,ALL_APPS,EXP3_MC,failure_rate_pct,10,10,0.5017090831584683,0.10511924276642126,1.7395861990555477,0.08538638702963296,1.2378771158970792,1.1509981887237075,1.3194117969939003,1.0,0.0,0.001953125,0.2109375,False
